sid,n,regime,Tr,src,A,B,C,D,A95,B95,sigA,sigB
JANCHOTSST,42,Japan annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0872,0.1959,0.2017,0.1929,0.2987,0.3861,False,False
PANCHCCH,36,Peru/Chile annual+in-season,0.5,Peru/Chile in-season responsive closures (sub-annual; TAC annual),0.3217,0.2913,0.1574,0.153,0.489,0.4082,False,False
PANCHCHVX,23,Peru/Chile annual+in-season,0.5,Peru/Chile in-season responsive closures (sub-annual; TAC annual),0.1123,0.1433,0.4844,0.2264,0.435,0.4433,False,False
PANCHCSCH,31,Peru/Chile annual+in-season,0.5,Peru/Chile in-season responsive closures (sub-annual; TAC annual),0.1046,0.1116,0.4647,0.2716,0.3494,0.3997,False,False
PANCHNCH,29,Peru/Chile annual+in-season,0.5,Peru/Chile in-season responsive closures (sub-annual; TAC annual),0.4633,0.241,0.0513,0.0826,0.6086,0.3586,False,False
PANCHNCHSP,36,Peru/Chile annual+in-season,0.5,Peru/Chile in-season responsive closures (sub-annual; TAC annual),0.1927,0.4247,0.0776,0.1143,0.4796,0.4075,False,True
PANCHPERUNC,47,Peru/Chile annual+in-season,0.5,Peru/Chile in-season responsive closures (sub-annual; TAC annual),0.1471,0.1726,0.0434,0.1829,0.2782,0.329,False,False
PANCHSCH,28,Peru/Chile annual+in-season,0.5,Peru/Chile in-season responsive closures (sub-annual; TAC annual),0.2715,0.3221,0.1865,0.1923,0.4673,0.4459,False,False
SPRAT22-32,50,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.0978,0.0464,0.1596,0.4539,0.2209,0.2823,False,False
SPRATIIIa-IV,48,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.103,0.1004,0.0556,0.3274,0.215,0.2731,False,False
SPRATNS,45,ICES/EU/GFCM annual TAC,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.2171,0.0954,0.0554,0.3471,0.3542,0.369,False,False
SPRBLKGSA29,30,Black Sea annual,1.0,annual TAC cycle (ICES/EU/GFCM/Japan/Black Sea/Argentina),0.1014,0.3536,0.1798,0.1889,0.3993,0.4312,False,False
